nombre_cancion,anio,mes,reproducciones,likes
Ausencia,2015,Noviembre,1778,1984
Pulso Final,2018,Abril,2513,2394
Al Límite,2016,Mayo,2356,2188
Intermitente,2019,Octubre,3920,3258
Sombras II,2016,Mayo,4823,1006
Despierto,2023,Febrero,4560,1324
Ecos,2023,Agosto,4451,4363
Fragmentos,2023,Agosto,4047,4275
Punto Ciego,2017,Enero,2552,1257
Despierto,2021,Diciembre,2438,102
Sutil,2019,Marzo,3666,2198
Fuego Interno,2025,Diciembre,966,1818
A Media Luz,2024,Octubre,2206,2833
Claroscuro,2021,Junio,864,4272
Nostalgia,2021,Marzo,2761,999
Instinto,2022,Septiembre,779,510
Nostalgia,2015,Enero,3338,655
Ruido Blanco,2019,Noviembre,304,3021
Fuego Interno,2019,Octubre,3648,4478
Vértice,2019,Noviembre,1532,475
Lluvia de Estrellas,2017,Marzo,4575,1927
Destino Cruzado,2016,Abril,4698,3944
Tensión,2016,Febrero,437,3892
Desorden,2016,Julio,3779,2356
Corazón Eléctrico,2019,Junio,882,4301
Último Latido,2016,Abril,4796,2822
Desvelo II,2018,Abril,4065,4030
Callejón,2020,Abril,4928,2560
Lento Adiós,2019,Septiembre,4490,2055
Pecado,2019,Noviembre,2130,675
Desconexión,2015,Julio,72,4503
Destino Cruzado,2024,Enero,1508,4141
Pecado,2018,Abril,4348,3649
Gravedad,2022,Noviembre,4091,4567
Última Vez,2022,Noviembre,1009,4232
Sin Control,2025,Septiembre,4831,2255
Horizonte Rojo,2021,Septiembre,1881,1473
Claroscuro,2015,Febrero,2723,4898
Sutil,2015,Enero,4124,1516
Desvelo,2017,Marzo,3665,1075
Sombras II,2020,Julio,4523,2314
Oscuridad Total,2021,Mayo,4932,2690
Reinicio,2025,Enero,941,270
Noches de Neón,2016,Noviembre,3091,1594
Instante,2018,Octubre,2924,1147
Sombras del Ayer,2016,Febrero,3293,850
Fragmentos,2017,Mayo,568,2911
Al Límite,2017,Enero,2563,12
Antes del Silencio,2016,Junio,2753,3780
Eterno,2016,Enero,1519,4069
Niebla,2023,Noviembre,391,494
Latidos,2021,Octubre,3400,2358
Pecado,2018,Febrero,2147,3415
Cicatrices,2016,Octubre,1864,280
Desorden,2021,Julio,1609,1146
Cicatrices,2022,Enero,190,4091
A Contrarreloj,2024,Marzo,4347,4201
Horizonte Rojo,2023,Junio,4188,3644
Pulso,2018,Noviembre,3267,2584
Espiral,2015,Mayo,4476,3884
Intermitente,2017,Mayo,4356,1060
Alma Libre,2024,Noviembre,4056,4748
Callejón,2017,Abril,2639,880
Vértigo,2022,Agosto,2709,2810
Pulso Final,2020,Septiembre,1644,4570
Eterno,2017,Marzo,3169,2480
Despierto,2019,Noviembre,1378,1427
Sutil,2025,Junio,4684,1188
Antes del Silencio,2022,Julio,439,1533
Pulso Final,2024,Octubre,3191,4987
Gravedad,2018,Febrero,2785,724
Ritmo Urbano,2019,Febrero,1187,2385
Desfase,2019,Enero,2589,2399
Eterno,2020,Marzo,1776,868
Instante,2018,Mayo,1773,4818
Antes del Silencio,2024,Enero,1348,3482
Cicatrices,2019,Diciembre,111,827
Contratiempo,2022,Diciembre,4641,379
Pálpito,2020,Junio,3692,1465
Tensión,2025,Marzo,2264,1472
Colisión,2015,Enero,698,1481
Claroscuro,2022,Septiembre,3573,2847
Entre Sombras,2015,Diciembre,783,3178
Pecado,2025,Enero,4893,434
Nostalgia,2020,Octubre,257,3384
Fuego Interno,2024,Septiembre,1994,3144
Siluetas,2016,Enero,4627,4291
Desvelo,2016,Enero,2263,1541
Oscuridad Total,2018,Febrero,3042,771
Ecos,2016,Febrero,4220,1542
Espiral,2022,Febrero,3094,2296
Ausencia,2021,Octubre,4740,564
Despierta,2019,Octubre,1791,495
Pulso Final,2016,Noviembre,4133,1543
Vértigo,2025,Febrero,1480,2004
Vértice,2020,Febrero,1780,2494
Antes del Silencio,2023,Febrero,4726,797
Última Vez,2017,Octubre,432,2906
A Contraluz,2015,Abril,4592,3089
Oscuridad Total,2025,Mayo,2730,4242
Despierto,2017,Diciembre,46,4399
Oscuridad Total,2024,Julio,2510,141
Sin Mirar Atrás,2017,Noviembre,3445,4137
Intermitente,2015,Septiembre,3523,2412
Cicatrices,2015,Noviembre,3352,1156
Cicatrices,2018,Agosto,3167,3640
Reinicio,2023,Abril,2031,2086
Sin Mirar Atrás,2019,Marzo,1596,4823
Desvelo,2015,Abril,3635,3051
